X,Y,1,2,3,4,5,6,7,8
657330.6,3435261,305,235,273,222,118,482,599,589
657338.7,3435261.4,304,240,279,223,120,495,632,599
657348.2,3435260.3,305,235,281,220,122,488,641,604
657356.9,3435260.3,304,239,285,226,123,490,640,632
657364.6,3435259.2,310,240,278,222,120,481,637,584
657361.7,3435251.5,312,240,279,228,123,472,588,574
657355.1,3435251.5,305,240,283,233,123,494,618,579
657348.2,3435251.5,311,239,276,227,122,498,615,576
657338.7,3435252.2,306,238,276,229,122,444,553,533
657329.1,3435253.3,307,240,273,219,120,476,583,568
657320.7,3435253.7,308,238,276,224,118,471,583,577
657320.4,3435248.6,313,243,275,219,122,449,564,552
657383.4,3435273.1,302,237,275,221,126,495,625,645
657389.2,3435272,300,237,272,214,118,497,654,645
657396.1,3435268,302,236,274,215,112,510,672,639
657396.8,3435262.5,303,234,265,208,111,487,639,618
657389.5,3435262.5,303,234,271,211,116,471,617,594
657383.3,3435262.9,305,242,277,221,117,502,669,643
657377.8,3435261,307,240,272,238,114,522,670,651
657376,3435255.5,309,238,275,224,120,494,678,625
657372.7,3435248.2,307,237,274,229,114,494,624,613
657378.9,3435247.8,305,238,275,220,117,471,601,580
657387,3435247.8,307,235,261,207,112,434,572,562
657396.1,3435247.8,309,237,271,217,117,457,579,567
657410,3435271.6,309,237,276,222,118,470,585,557
657416.2,3435271.6,303,238,279,223,118,490,639,616
657425,3435271.3,304,238,280,225,114,559,804,784
657426.8,3435264.7,309,237,276,219,117,496,699,688
657419.2,3435264.7,307,234,277,220,121,501,662,640
657410,3435263.9,305,238,279,226,119,502,645,619
657409.6,3435258.1,305,235,278,228,111,493,626,601
657417.7,3435257.7,307,239,273,223,115,491,649,625
657425.4,3435257.7,303,239,275,227,121,502,683,668
657426.5,3435252.6,314,237,275,215,116,503,695,671
657425.7,3435247.5,306,238,273,220,117,480,627,618
657449.5,3435265.8,308,239,271,217,118,483,646,628
657460.5,3435267.6,308,237,274,221,119,493,631,624
657471.9,3435268.3,308,237,278,217,118,484,639,613
657481.4,3435268.3,304,238,280,226,123,507,650,646
657490.9,3435276.4,307,240,281,224,123,481,644,614
657491.6,3435263.9,314,242,277,224,119,505,660,629
657484.3,3435264.3,312,241,286,232,123,516,679,643
657474.1,3435264.3,309,239,279,227,120,507,664,650
657465.3,3435259.6,310,236,274,224,121,472,587,561
657455,3435253,310,239,275,222,114,487,644,619
657463.4,3435253.3,303,239,276,224,116,496,660,643
657475.2,3435253.3,309,240,277,224,117,509,676,649
657487.6,3435252.6,306,240,278,224,120,497,644,622
657479.5,3435248.9,308,237,280,232,119,516,679,658
657494.2,3435278.6,310,241,282,223,122,463,617,594
657503.7,3435279,307,242,282,220,119,499,655,647
657514.3,3435278.6,311,242,281,223,126,485,635,600
657516.1,3435273.1,309,238,280,231,124,490,646,620
657506.6,3435272.7,310,242,279,222,119,505,677,632
657495.6,3435271.3,307,237,277,222,120,516,684,654
657489.8,3435264.7,313,239,280,227,119,497,623,609
657499.7,3435264.7,309,236,272,225,118,471,616,603
657509.2,3435265,313,242,282,233,120,527,668,654
657518.7,3435265,306,240,282,228,127,514,661,639
657520.9,3435259.9,305,242,284,229,123,495,646,615
657513.2,3435260.3,306,239,284,227,122,501,661,638
657502.6,3435260.7,310,239,273,221,116,507,656,631
657494.2,3435260.7,311,240,279,230,125,477,618,590
657510.7,3435261.4,305,240,287,226,126,519,675,650
657519.4,3435260.7,312,240,286,235,124,515,673,640
657523.5,3435254.8,311,238,286,234,126,524,669,647
657515,3435255.2,312,242,282,224,122,501,643,620
657530.8,3435279,313,244,293,238,127,524,655,630
657539.6,3435279.3,313,241,291,234,125,512,627,611
657548,3435280.8,313,242,287,235,129,498,627,600
657558.2,343528109,308,241,290,231,119,505,636,601
657567.7,3435282.6,314,246,295,234,128,519,641,617
657570.3,3435277.5,315,242,292,237,125,501,619,596
657563,3435276,315,242,287,236,126,498,605,591
657551.6,3435274.6,309,244,288,232,125,514,641,607
657541,3435272,311,243,285,238,127,481,592,570
657532.2,3435270.2,309,248,287,239,127,496,615,596
657535.5,3435261.8,313,242,285,232,120,509,635,617
657549.4,3435262.1,310,240,290,236,126,508,628,603
657563.3,3435261.8,310,243,286,230,126,478,583,562
657565.5,3435285.2,309,246,296,241,128,536,655,634
657574.7,3435285.5,315,245,296,237,126,523,640,616
657580.9,3435284.4,308,246,283,229,130,498,602,591
657584.6,3435277.9,314,245,290,240,126,516,654,618
657577.3,3435277.1,311,241,283,235,126,480,616,592
657571.4,3435276.4,315,242,292,237,125,501,619,596
657565.2,3435276,313,247,288,236,122,500,631,602
657564.8,3435269.1,312,243,282,233,127,486,597,564
657573.6,3435268.7,312,242,280,225,126,489,605,591
657582.7,3435268.3,312,243,314,252,128,602,709,684
657590.1,34356267.6,310,244,317,243,123,640,748,725
657564.8,3435262.9,313,244,282,235,122,464,551,530
657574,3435262.5,313,240,307,252,125,578,696,664
657583.1,3435262.1,314,241,316,251,123,623,751,717
657590.8,3435262.9,311,246,315,254,127,591,719,689
657595.6,3435257.7,316,243,318,255,130,593,720,678
657586.4,3435257.4,312,244,303,243,124,560,680,651
657576.5,3435257,313,242,300,239,124,543,659,633
657565.9,3435254.8,310,243,311,250,133,606,714,695
657565.2,3435249.7,307,243,314,246,126,584,745,681
657574,3435250,313,240,315,249,125,574,699,651
657583.1,3435250,315,240,302,245,124,546,670,646
657592.3,3435250,313,245,298,238,124,524,635,617
657600.7,3435249.3,314,241,306,251,126,550,654,625
657617.1,3435339,310,243,291,240,124,501,643,606
657609.8,3435333.1,315,248,300,252,126,527,654,601
657621.2,3435332.4,308,246,304,246,125,549,694,649
657629.6,3435332.4,313,246,307,254,128,541,664,630
657633.6,3435325.1,314,244,298,243,124,528,638,610
657621.5,3435322.9,313,243,307,245,123,561,683,648
657609.5,3435322.5,306,243,305,241,124,544,672,643
657597.4,3435321.8,313,244,306,249,126,562,672,652
657592.6,3435313,314,243,303,249,127,562,696,667
657610.2,3435312.3,311,245,310,247,125,560,672,645
