X,Y,1,2,3,4,5,6,7,8
657100.6,3435321.4,304,235,270,217,116,436,488,475
657112.4,3435317,304,237,277,219,121,414,525,521
65120.67,3435312.3,307,239,281,233,126,471,591,547
657113,3435309.4,312,245,299,237,126,575,690,672
657108.8,3435305.5,309,243,296,238,129,585,705,709
657149.2,3435325.6,307,244,292,225,127,509,646,611
657146.8,3435319.7,311,241,293,237,132,548,690,670
657152.7,3435316.7,303,239,277,218,125,455,590,543
657152.4,3435311.1,307,240,276,207,128,433,600,572
657167.8,3435311.7,303,239,267,217,114,463,547,551
657175.1,3435312.6,304,240,281,227,117,486,562,534
657187.8,3435324.7,311,237,283,229,120,557,680,690
657186.6,3435336.7,308,239,281,221,119,507,643,614
657197.2,3435325.8,306,236,289,232,122,560,675,674
657193.7,3435318.5,310,239,284,232,117,561,679,682
657190.1,3435312.6,312,235,274,214,120,459,590,575
657205.5,3435311.7,304,235,280,221,121,478,547,519
657217.2,3435316.1,302,230,259,210,108,409,478,469
657205.8,3435364.7,303,235,268,221,113,481,585,572
657213.7,3435355.3,303,237,284,235,127,498,575,567
657221.7,3435355.3,309,238,273,221,123,351,401,387
657219.6,3435365,305,232,274,209,115,473,610,591
657233.7,3435376.8,305,235,268,214,112,425,521,468
657253.6,3435395,302,239,287,224,128,458,560,528
657259.2,3435392.1,306,235,281,237,126,560,693,677
657267.4,3435386.9,308,240,294,239,126,590,734,712
657263.9,3435382.9,309,239,292,232,131,595,727,700
657273.4,3435425.9,302,233,261,215,111,442,526,503
657296.4,3435411.9,309,243,273,228,124,461,583,577
657294.8,3435437.5,303,236,277,234,124,485,565,559
657309.3,3435444.7,302,234,267,206,116,422,543,526
657316.5,3435439.1,303,233,266,216,115,483,614,633
657318.6,3435448.9,302,237,274,220,125,449,556,547
657319.4,3435456.8,305,235,267,218,117,455,563,572
657305.4,3435456.8,300,234,268,215,118,413,456,457
657338.9,3435471.8,302,240,274,234,122,523,665,639
657334.1,3435493.5,298,232,269,210,117,419,523,508
657361.6,3435530.2,301,241,281,227,123,525,664,661
657363.7,3435541.3,303,238,284,234,128,501,612,628
657375.6,3435534.7,304,236,272,216,121,496,649,648
