X,Y,1,2,3,4,5,6,7,8
657399.5,3435540.9,299,223,238,185,95,323,397,412
657353,3435540.6,293,221,230,186,97,285,316,305
657365.9,3435530.7,293,221,227,175,97,245,304,271
657384.9,3435521,297,217,226,188,96,282,299,292
657330.8,3435518.7,297,219,231,188,95,312,342,331
657341.3,3435519,296,220,228,175,92,257,334,320
657317.1,3435526.9,294,220,221,179,92,264,279,286
657305.4,3435501.1,294,221,226,176,90,249,286,263
657323.2,3435488.6,300,224,231,187,98,300,327,356
657311.8,3435483,298,223,222,182,91,283,298,311
657301,3435474.8,297,222,226,170,94,229,264,256
657310.6,3435474.5,298,227,227,179,99,277,317,321
657301,3435460.5,296,228,237,180,97,307,381,384
657314.1,3435458.7,295,230,239,194,100,335,406,405
657316.2,3435452.3,299,221,229,190,97,302,334,374
657311.2,3435443,302,217,228,182,91,283,314,329
657289.3,3435433.3,295,220,218,163,90,225,256,277
657303,3435435.6,300,226,231,185,104,311,364,379
657315.3,3435431,297,222,222,173,92,264,324,315
657288.7,3435410.5,294,220,230,171,91,248,319,276
657243.1,3435388.9,301,225,235,183,101,293,337,308
657252.4,3435386.8,296,221,228,170,96,249,316,285
657259.2,3435382.7,300,224,240,194,99,356,423,429
657257.4,3435376.3,298,222,233,185,90,337,363,380
657248.9,3435372.8,296,223,230,173,97,277,368,312
657245.1,3435366.9,298,221,220,173,87,247,255,257
657264.4,3435363.1,298,226,225,186,93,287,311,329
657211.5,3435362,297,223,226,169,95,271,323,332
657228.8,3435364.3,295,222,231,182,91,272,290,298
657213.3,3435350.6,300,221,229,188,98,305,335,315
657234.6,3435350.9,301,222,218,175,87,230,248,251
657225,3435344.4,300,220,219,176,95,256,283,319
657239.6,3435338.9,300,221,225,189,97,283,275,300
657190.2,3435331.6,294,224,225,169,93,242,270,257
657181.7,3435326.3,302,231,237,190,101,310,347,363
657188.7,3435322.8,302,224,233,183,99,312,380,366
657203.6,3435324.3,298,222,231,180,98,284,309,316
657212.7,3435331.3,295,224,225,170,93,229,292,244
657212.1,3435323.7,304,227,243,183,100,299,375,333
657204.5,3435317,304,230,232,186,94,291,324,334
657213.6,3435314.6,301,222,235,183,96,336,352,359
