X,Y,1,2,3,4,5,6,7,8
"657,394.4","3,435,572.3",300,234,250,206,135,261,313,289
"657,420.6","3,435,552.8",299,237,261,220,153,349,393,392
"657,353.4","343,551.2",295,236,264,234,159,293,334,323
"657,341.1","3,435,503.1",303,231,253,229,141,302,327,329
657367,"3,435,504.6",297,228,255,230,149,354,367,376
"657,365.2","3,435,495.2",302,236,248,232,151,328,298,325
657397,"3,435,503.4",300,241,271,254,175,370,406,398
"657,409.3","3,435,492.8",297,231,242,224,138,307,293,311
"657,411.3","3,435,506.5",300,227,240,205,123,295,284,310
"657,434.7","3,435,508.7",301,229,242,198,129,248,276,246
"657,443.1","3,435,504.4",303,233,257,248,153,366,340,362
657448,"3,435,495.9",304,234,261,228,145,342,388,373
657460,"3,435,494.9",308,243,276,236,159,354,410,397
"657,469.3","3,435,506.7",303,240,262,227,148,312,313,312
657439,"3,435,475.2",304,243,271,264,178,346,331,345
657389,"3,435,467.2",302,231,247,221,147,274,293,324
"657,392.9","3,435,479.2",299,231,243,223,138,287,272,285
"657,367.2","3,435,466.7",305,234,248,214,138,272,280,277
"657,350.1","3,435,460.8",303,237,256,219,150,300,317,323
"657,341.4","3,435,487.2",299,226,243,209,135,287,328,325
657339,"3,435,493.1",294,229,240,206,131,263,276,265
"657,220.6","3,435,470.1",303,238,261,243,159,322,333,338
"657,212.7","3,435,432.9",307,235,256,239,153,333,335,327
"657,245.7","3,435,442.1",301,231,238,219,147,300,290,319
"657,258.6","3,435,432.9",299,231,240,202,129,252,279,267
"657,255.8","3,435,425.2",302,233,249,221,145,353,358,362
"657,212.4",3435433,307,235,256,239,153,333,335,327
"657,221.7","3,435,415.2",301,232,239,207,141,306,350,349
"657,235.5","3,435,414.7",301,229,245,216,145,317,355,350
"657,210.6",3435399,297,225,237,199,128,277,306,315
"657,211.2","3,435,390.8",302,235,247,232,139,370,365,391
657236,"3,435,414.4",300,232,251,221,152,343,399,392
657247,"3,435,408.8",306,229,253,225,140,360,393,402
"657,256.2","3,435,411.1",302,234,261,236,155,351,372,383
"657,244.7","3,435,399.6",304,236,263,228,146,388,469,464
"657,269.4","3,435,417.3",306,235,262,241,169,343,366,365
"657,267.3","3,435,408.8",301,227,235,214,126,273,284,285
"657,281.9","3,435,396.7",304,230,252,239,147,364,373,391
"657,291.4","3,435,398.5",303,227,243,225,142,307,313,311
"657,301.4","3,435,411.1",301,233,235,222,145,333,367,390
"657,312.9",3435407,304,234,251,212,138,336,385,397
"657,333.4","3,435,398.5",296,228,234,205,130,251,293,293
"657,354.9","3,435,400.8",302,240,255,234,150,303,310,317
657356,"3,435,419.3",303,235,255,248,162,345,338,328
"657,371.6","3,435,415.4",304,238,255,236,143,322,327,316
"657,372.1","3,435,422.1",300,240,254,214,148,272,303,300
"657,382.4","3,435,422.6",302,235,255,237,150,326,338,354
"657,383.6","3,435,413.1",302,234,252,233,139,346,319,347
"657,377.5","3,435,408.5",299,235,252,224,139,293,299,315
"657,393.1","3,435,419.5",294,228,238,201,125,264,283,259
"657,405.2","3,435,411.1",299,228,239,203,126,256,263,265
657417,"3,435,411.3",302,230,250,221,136,297,317,321
"657,422.9","3,435,402.6",296,232,242,215,128,297,328,327
"657,375.7","3,435,388.8",307,241,269,233,151,423,500,494
"657,385.2","3,435,391.1",304,237,269,224,171,297,232,314
"657,389.3","3,435,383.1",299,240,264,235,161,373,410,427
"657,394.7","3,435,388.8",295,232,247,219,132,322,325,330
"657,375.2","3,435,374.9",305,237,261,220,157,325,372,381
"657,370.6","3,435,372.4",307,236,255,224,144,275,440,437
"657,366.7",3435377,300,231,240,216,131,344,365,368
"657,371.1","3,435,371.3",306,238,255,235,140,329,365,385
"657,365.7","3,435,392.6",304,240,262,227,149,317,333,339
"65,735.9","3,435,391.1",306,238,257,219,146,311,362,376
"657,344.98","3,435,374.7",298,230,253,215,139,332,351,375
"657,336.7","3,435,374.7",300,240,258,243,165,359,385,394
"657,333.4","3,435,396.5",295,228,239,210,132,274,267,282
"657,313.7",3435387,298,231,244,219,139,301,308,347
"657,303.2","3,435,390.6",301,226,238,209,123,275,271,272
"657,290.6","3,435,398.8",303,227,243,225,142,307,313,311
"657,281.1","3,435,397.2",304,230,252,239,147,364,373,391
"657,280.6","3,435,389.5",307,238,267,250,159,380,403,409
"657,278.8","3,435,376.7",301,238,261,242,160,382,428,427
"657,272.9","3,435,375.2",310,244,272,249,167,358,386,396
"657,243.9","3,435,398.8",302,234,254,214,132,309,339,363
657246,"3,435,392.9",307,239,282,249,163,504,562,571
"657,271.6","3,435,376.2",303,232,257,231,136,324,322,241
"657,279.6","3,435,376.7",301,238,261,242,160,382,428,427
"657,276.5","3,435,361.1",302,231,248,213,138,278,291,304
"657,333.1","3,435,368.8",298,231,250,213,143,301,333,355
"657,336.7","3,435,374.7",300,240,258,243,165,359,385,394
"657,344.9","3,435,373.9",302,229,243,218,130,304,309,328
"657,349.3","3,435,368.8",297,236,255,216,141,285,324,329
"657,350.6","3,435,362.6",303,231,247,218,147,321,352,336
657367,3435377,300,231,240,216,131,344,365,368
"657,370.6","3,435,372.9",307,236,255,224,144,375,440,437
"657,375.2","3,435,374.7",305,237,261,220,157,325,372,381
"657,374.7","3,435,362.9",305,240,269,234,156,334,387,372
"657,363.1","3,435,366.2",303,240,267,220,150,340,410,374
"657,389.3","3,435,364.9",310,240,276,270,161,405,426,453
"657,389.3","3,435,382.4",299,240,264,235,161,373,410,427
657419,3435337,302,232,255,213,133,377,450,421
"657,442.6","3,435,341.1",303,234,258,227,143,299,323,313
"657,428.5","3,435,322.9",305,229,244,221,134,339,401,403
"657,437.5","3,435,320.8",305,240,268,231,156,331,377,374
"657,440.5","3,435,312.9",306,244,274,241,162,368,423,405
"657,449.5","3,435,290.9",294,236,249,205,136,259,309,281
"657,452.8","3,435,278.8",304,232,258,229,138,376,419,408
"657,429.3","3,435,282.9",307,245,267,237,165,326,359,332
"657,411.1","3,435,286.5",301,240,258,234,144,338,330,340
"657,336.2","3,435,342.6",304,235,256,224,143,319,322,327
"657,319.3","3,435,354.7",303,235,259,237,147,351,367,391
"657,304.4",3435394,301,239,253,214,138,340,395,384
"657,228.8","3,435,313.4",301,233,246,208,130,252,286,262
"657,253.9","3,435,324.4",300,233,242,211,135,255,269,284
"657,251.1","3,435,329.8",303,233,253,226,138,326,341,346
"657,237.3","3,435,334.9",303,237,259,247,160,359,393,423
"657,218.1","3,435,336.7",299,235,256,230,151,344,391,396
"657,227.5","3,435,354.7",304,240,267,245,169,355,378,385
"657,176.8","3,435,320.8",303,230,251,214,133,300,359,363
"657,161.7","3,435,316.2",306,237,258,227,153,322,374,359
"657,158.3","3,435,338.6",300,235,253,230,149,325,376,368
657156,"3,435,332.2",304,237,255,216,129,389,423,459
"657,146.3","3,435,348.8",304,234,252,213,136,291,310,279
"657,150.7","3,435,352.6",304,246,281,260,174,406,436,425
"657,151.6",3435357,303,236,255,236,140,297,309,304
657137,"3,435,353.2",298,240,261,224,157,326,381,365
"657,128.2","3,435,354.7",302,232,245,204,126,294,331,322
"657,122.6","3,435,360.8",297,229,239,197,129,254,286,270
"657,118.6","3,435,349.1",301,236,241,218,136,296,290,281
